"Raw data packages from the headband:                  ""[ ]"" , i.e. 1 row, is 1 data package"
"[BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.03477939107836826, T4=-0.4), BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.04727902152921823, T4=-0.4)]"
"[BrainBitSignalData(PackNum=30, Marker=0, O1=0.4, O2=0.126379896526238, T3=0.06741568318908996, T4=0.18691843692630475), BrainBitSignalData(PackNum=30, Marker=0, O1=0.4, O2=0.12826283289225854, T3=0.06756750828505352, T4=0.18958376844765515)]"
"[BrainBitSignalData(PackNum=31, Marker=0, O1=0.4, O2=0.13132870800848773, T3=0.06787611758815536, T4=0.1936086593710512), BrainBitSignalData(PackNum=31, Marker=0, O1=0.4, O2=0.13044674915957372, T3=0.06753432038719215, T4=0.19317988698948574)]"
"[BrainBitSignalData(PackNum=32, Marker=0, O1=0.4, O2=0.13054097227189282, T3=0.06753393891710179, T4=0.19370288248337028), BrainBitSignalData(PackNum=32, Marker=0, O1=0.4, O2=0.1326760603676418, T3=0.0677250554323725, T4=0.19663409865770212)]"
"[BrainBitSignalData(PackNum=33, Marker=0, O1=0.4, O2=0.13581288892067805, T3=0.06802985003457072, T4=0.20071849891519444), BrainBitSignalData(PackNum=33, Marker=0, O1=0.4, O2=0.13357785566125457, T3=0.06754500154972225, T4=0.19860935078558997)]"
"[BrainBitSignalData(PackNum=34, Marker=0, O1=0.4, O2=0.1349500035762821, T3=0.06772734425291467, T4=0.2005197529981165), BrainBitSignalData(PackNum=34, Marker=0, O1=0.4, O2=0.13699620914097704, T3=0.06792685311017334, T4=0.20330295877738835)]"
"[BrainBitSignalData(PackNum=35, Marker=0, O1=0.4, O2=0.13925184178528002, T3=0.0680805855565887, T4=0.2063417495172019), BrainBitSignalData(PackNum=35, Marker=0, O1=0.4, O2=0.13686193166917007, T3=0.06764456524330639, T4=0.20393391030684502)]"
"[BrainBitSignalData(PackNum=36, Marker=0, O1=0.4, O2=0.13877538564241948, T3=0.06787153994707103, T4=0.20645237584340653), BrainBitSignalData(PackNum=36, Marker=0, O1=0.4, O2=0.14104017356889112, T3=0.0681000405311971, T4=0.20944157547147318)]"
"[BrainBitSignalData(PackNum=37, Marker=0, O1=0.4, O2=0.14163908161075747, T3=0.06800505447869729, T4=0.21056386047731446), BrainBitSignalData(PackNum=37, Marker=0, O1=0.4, O2=0.14021352788307942, T3=0.06778609064683022, T4=0.20917416493813032)]"
"[BrainBitSignalData(PackNum=38, Marker=0, O1=0.4, O2=0.1421857282502444, T3=0.0679894142049925, T4=0.21175252127887847), BrainBitSignalData(PackNum=38, Marker=0, O1=0.4, O2=0.14478849867677562, T3=0.06825682473833536, T4=0.2151170874758601)]"
"[BrainBitSignalData(PackNum=39, Marker=0, O1=0.4, O2=0.143461745702501, T3=0.06789366521231195, T4=0.21398488424766945), BrainBitSignalData(PackNum=39, Marker=0, O1=0.4, O2=0.1434686121641275, T3=0.06790434637484205, T4=0.2141660825405908)]"
"[BrainBitSignalData(PackNum=40, Marker=0, O1=0.4, O2=0.14521460076770856, T3=0.06805426412035381, T4=0.21645223279212264), BrainBitSignalData(PackNum=40, Marker=0, O1=0.4, O2=0.14905447869727964, T3=0.06848646973273252, T4=0.22125265240922204)]"
"[BrainBitSignalData(PackNum=41, Marker=0, O1=0.4, O2=0.1452336742722266, T3=0.06774222158643874, T4=0.2172540829220609), BrainBitSignalData(PackNum=41, Marker=0, O1=0.4, O2=0.14523596309276876, T3=0.06782843382686027, T4=0.21732808811959087)]"
"[BrainBitSignalData(PackNum=42, Marker=0, O1=0.4, O2=0.14767088667954129, T3=0.0680805855565887, T4=0.220374889731302), BrainBitSignalData(PackNum=42, Marker=0, O1=0.4, O2=0.14874548792408746, T3=0.06809965906110674, T4=0.22195379443530505)]"
"[BrainBitSignalData(PackNum=43, Marker=0, O1=0.4, O2=0.14766707197863768, T3=0.06790129461411916, T4=0.22092535107169253), BrainBitSignalData(PackNum=43, Marker=0, O1=0.4, O2=0.14902014638914718, T3=0.06803862384664902, T4=0.22263166678587606)]"
"[BrainBitSignalData(PackNum=44, Marker=0, O1=0.4, O2=0.15092711537086045, T3=0.06821982213957037, T4=0.22505171303912452), BrainBitSignalData(PackNum=44, Marker=0, O1=0.4, O2=0.15093627065302911, T3=0.06805159382972129, T4=0.2254221204968648)]"
"[BrainBitSignalData(PackNum=45, Marker=0, O1=0.4, O2=0.14929556779438763, T3=0.0678223303054145, T4=0.22370512362015116), BrainBitSignalData(PackNum=45, Marker=0, O1=0.4, O2=0.15096221061917364, T3=0.06801001358987196, T4=0.22579138354433398)]"
"[BrainBitSignalData(PackNum=46, Marker=0, O1=0.4, O2=0.15334983191474144, T3=0.06826674296068475, T4=0.2287752425911356), BrainBitSignalData(PackNum=46, Marker=0, O1=0.4, O2=0.1515492930882388, T3=0.06785856996399876, T4=0.22702620222683165)]"
"[BrainBitSignalData(PackNum=47, Marker=0, O1=0.4, O2=0.15154280809670267, T3=0.06790167608420952, T4=0.22716772763035548), BrainBitSignalData(PackNum=47, Marker=0, O1=0.4, O2=0.15310530958682023, T3=0.06805846029134778, T4=0.22916167179267102)]"
"[BrainBitSignalData(PackNum=48, Marker=0, O1=0.4, O2=0.155432658608111, T3=0.06828505352502205, T4=0.23209784707817754), BrainBitSignalData(PackNum=48, Marker=0, O1=0.4, O2=0.15254454855398994, T3=0.06776892449276399, T4=0.22900908375652673)]"
"[BrainBitSignalData(PackNum=49, Marker=0, O1=0.4, O2=0.15365004887585534, T3=0.06795584483704074, T4=0.23041251221896383), BrainBitSignalData(PackNum=49, Marker=0, O1=0.4, O2=0.1552629044179005, T3=0.06812254726652839, T4=0.23244384045013472)]"
"[BrainBitSignalData(PackNum=50, Marker=0, O1=0.4, O2=0.1566800658035906, T3=0.0681816751305343, T4=0.23432486946570347), BrainBitSignalData(PackNum=50, Marker=0, O1=0.4, O2=0.15401015664115586, T3=0.06776930596285435, T4=0.2314504923348354)]"
"[BrainBitSignalData(PackNum=51, Marker=0, O1=0.4, O2=0.15552840760079156, T3=0.06798102186300456, T4=0.23336318336790407), BrainBitSignalData(PackNum=51, Marker=0, O1=0.4, O2=0.1574578833178361, T3=0.06820418186586558, T4=0.23574317526166463)]"
"[BrainBitSignalData(PackNum=52, Marker=0, O1=0.4, O2=0.15720420570774624, T3=0.06802641680375748, T4=0.23567756240612261), BrainBitSignalData(PackNum=52, Marker=0, O1=0.4, O2=0.15570121355172498, T3=0.06784788880146866, T4=0.23403762248766183)]"
"[BrainBitSignalData(PackNum=53, Marker=0, O1=0.4, O2=0.15718742102377037, T3=0.06802908709439001, T4=0.2359087332808812), BrainBitSignalData(PackNum=53, Marker=0, O1=0.4, O2=0.159568557327802, T3=0.06830565290990154, T4=0.23884643444674916)]"
"[BrainBitSignalData(PackNum=54, Marker=0, O1=0.4, O2=0.15752959969482394, T3=0.06788679875068546, T4=0.23674148248813867), BrainBitSignalData(PackNum=54, Marker=0, O1=0.4, O2=0.1575425696778962, T3=0.06793753427270344, T4=0.2368139618053072)]"
"[BrainBitSignalData(PackNum=55, Marker=0, O1=0.4, O2=0.15890098466967076, T3=0.06808020408649834, T4=0.23854659895572564), BrainBitSignalData(PackNum=55, Marker=0, O1=0.4, O2=0.16104942421858237, T3=0.06830069379872684, T4=0.24121269341725676)]"
"[BrainBitSignalData(PackNum=56, Marker=0, O1=0.4, O2=0.15819068736141909, T3=0.06782194883532414, T4=0.23804839901771452), BrainBitSignalData(PackNum=56, Marker=0, O1=0.4, O2=0.15927825858903752, T3=0.06801153947023342, T4=0.2393347161624109)]"
"[BrainBitSignalData(PackNum=57, Marker=0, O1=0.4, O2=0.160538254297499, T3=0.06813818754023318, T4=0.24094642729418497), BrainBitSignalData(PackNum=57, Marker=0, O1=0.4, O2=0.16109634503969675, T3=0.06812445461698019, T4=0.24178795031352074)]"
"[BrainBitSignalData(PackNum=58, Marker=0, O1=0.4, O2=0.15997825620484946, T3=0.06795775218749255, T4=0.24056381279355316), BrainBitSignalData(PackNum=58, Marker=0, O1=0.4, O2=0.1610044107479198, T3=0.06806380087261284, T4=0.24180549793767733)]"
"[BrainBitSignalData(PackNum=59, Marker=0, O1=0.4, O2=0.16263862861502515, T3=0.06825262856734139, T4=0.2438341558782157), BrainBitSignalData(PackNum=59, Marker=0, O1=0.4, O2=0.16202560617981546, T3=0.06804739765872732, T4=0.24335159621390937)]"
"[BrainBitSignalData(PackNum=60, Marker=0, O1=0.4, O2=0.16071449347924566, T3=0.06790320196457096, T4=0.24185508904942424), BrainBitSignalData(PackNum=60, Marker=0, O1=0.4, O2=0.16216789452352, T3=0.06807028586414897, T4=0.24361481057625825)]"
"[BrainBitSignalData(PackNum=61, Marker=0, O1=0.4, O2=0.16440140190258207, T3=0.06833044846577498, T4=0.2463594878764037), BrainBitSignalData(PackNum=61, Marker=0, O1=0.4, O2=0.16215110983954414, T3=0.06790472784493241, T4=0.24398331068354673)]"
"[BrainBitSignalData(PackNum=62, Marker=0, O1=0.4, O2=0.16226478792647164, T3=0.06799284743580573, T4=0.24407791526595618), BrainBitSignalData(PackNum=62, Marker=0, O1=0.4, O2=0.16359459266146914, T3=0.06812712490761272, T4=0.2456572014400496)]"
"[BrainBitSignalData(PackNum=63, Marker=0, O1=0.4, O2=0.16547371432658609, T3=0.06830870467062441, T4=0.24799370574350904), BrainBitSignalData(PackNum=63, Marker=0, O1=0.4, O2=0.16249786615168205, T3=0.06783797057911928, T4=0.24468712300026227)]"
"[BrainBitSignalData(PackNum=64, Marker=0, O1=0.4, O2=0.16364151348258352, T3=0.06804053119710082, T4=0.24595779987125385), BrainBitSignalData(PackNum=64, Marker=0, O1=0.4, O2=0.16514069093770117, T3=0.0682030374555945, T4=0.24773125432134088)]"
"[BrainBitSignalData(PackNum=65, Marker=0, O1=0.4, O2=0.16604897122285006, T3=0.06821905919938966, T4=0.24895119567031448), BrainBitSignalData(PackNum=65, Marker=0, O1=0.4, O2=0.16346336695038505, T3=0.06787993228905896, T4=0.24604210476122357)]"
"[BrainBitSignalData(PackNum=66, Marker=0, O1=0.4, O2=0.16496483322604488, T3=0.06810652552273323, T4=0.24776062751829864), BrainBitSignalData(PackNum=66, Marker=0, O1=0.4, O2=0.16689697923372196, T3=0.06833578904704003, T4=0.2500360966073004)]"
"[BrainBitSignalData(PackNum=67, Marker=0, O1=0.4, O2=0.16616608254059081, T3=0.06809660730038386, T4=0.24935975013709083), BrainBitSignalData(PackNum=67, Marker=0, O1=0.4, O2=0.1648103378394488, T3=0.0679630927687576, T4=0.24780220775814796)]"
"[BrainBitSignalData(PackNum=68, Marker=0, O1=0.4, O2=0.16611420260830176, T3=0.06813475430941993, T4=0.24930100374317526), BrainBitSignalData(PackNum=68, Marker=0, O1=0.4, O2=0.16842514841570705, T3=0.06840407219321461, T4=0.25199380111103165)]"
"[BrainBitSignalData(PackNum=69, Marker=0, O1=0.4, O2=0.16608864411224758, T3=0.06796461864911904, T4=0.24941391888992204), BrainBitSignalData(PackNum=69, Marker=0, O1=0.4, O2=0.1662400877381208, T3=0.06806113058198031, T4=0.2495649810457049)]"
"[BrainBitSignalData(PackNum=70, Marker=0, O1=0.4, O2=0.16750313520730517, T3=0.06822325537038362, T4=0.25107102496244904), BrainBitSignalData(PackNum=70, Marker=0, O1=0.4, O2=0.16943489974489187, T3=0.06842276422764228, T4=0.25338654841093866)]"
"[BrainBitSignalData(PackNum=71, Marker=0, O1=0.4, O2=0.16646782538206614, T3=0.0679524116062275, T4=0.25004296306892687), BrainBitSignalData(PackNum=71, Marker=0, O1=0.4, O2=0.1675580669003171, T3=0.06814314665140786, T4=0.251302577307298)]"
"[BrainBitSignalData(PackNum=72, Marker=0, O1=0.4, O2=0.16872879860763418, T3=0.06827170207185942, T4=0.2527182128126267), BrainBitSignalData(PackNum=72, Marker=0, O1=0.4, O2=0.16908776196266362, T3=0.06824156593472093, T4=0.2532385380158787)]"
"[BrainBitSignalData(PackNum=73, Marker=0, O1=0.4, O2=0.16805397801778604, T3=0.06809393700975133, T4=0.2520761986505496), BrainBitSignalData(PackNum=73, Marker=0, O1=0.4, O2=0.16892411129389887, T3=0.06820380039577523, T4=0.25310578642443315)]"
"[BrainBitSignalData(PackNum=74, Marker=0, O1=0.4, O2=0.17064148964070286, T3=0.06843268244999166, T4=0.25513101113415826), BrainBitSignalData(PackNum=74, Marker=0, O1=0.4, O2=0.16969468087642753, T3=0.06818930453234151, T4=0.2541342297880457)]"
"[BrainBitSignalData(PackNum=75, Marker=0, O1=0.4, O2=0.1686277090336886, T3=0.06809050377893809, T4=0.2528559235152469), BrainBitSignalData(PackNum=75, Marker=0, O1=0.4, O2=0.1699174594091982, T3=0.06823431800300409, T4=0.2543982070905753)]"
"[BrainBitSignalData(PackNum=76, Marker=0, O1=0.4, O2=0.1720845909925375, T3=0.06848723267291325, T4=0.25703607276541973), BrainBitSignalData(PackNum=76, Marker=0, O1=0.4, O2=0.16965500798703, T3=0.06805044941945021, T4=0.25437074124406933)]"
"[BrainBitSignalData(PackNum=77, Marker=0, O1=0.4, O2=0.16999680518799323, T3=0.06816069427556445, T4=0.25471559020575546), BrainBitSignalData(PackNum=77, Marker=0, O1=0.4, O2=0.17122361299859334, T3=0.06829764203800395, T4=0.2561972200367165)]"
"[BrainBitSignalData(PackNum=78, Marker=0, O1=0.4, O2=0.1728906372934697, T3=0.06845251889469041, T4=0.25827279879836923), BrainBitSignalData(PackNum=78, Marker=0, O1=0.4, O2=0.17000901223088477, T3=0.06802069475240208, T4=0.2550333547910259)]"
"[BrainBitSignalData(PackNum=79, Marker=0, O1=0.4, O2=0.17122246858832224, T3=0.06822974036191976, T4=0.25641809121903536), BrainBitSignalData(PackNum=79, Marker=0, O1=0.4, O2=0.17266709582051834, T3=0.06839148368023269, T4=0.25816942040388147)]"
"[BrainBitSignalData(PackNum=80, Marker=0, O1=0.4, O2=0.17308976468063803, T3=0.06834341844884724, T4=0.2588347042414706), BrainBitSignalData(PackNum=80, Marker=0, O1=0.4, O2=0.17083527644660612, T3=0.06805807882125742, T4=0.2562502443792766)]"
"[BrainBitSignalData(PackNum=81, Marker=0, O1=0.4, O2=0.17229211072169373, T3=0.06826102090932933, T4=0.2579264239563217), BrainBitSignalData(PackNum=81, Marker=0, O1=0.4, O2=0.17422501966955153, T3=0.06848990296354576, T4=0.2602388956440884)]"
"[BrainBitSignalData(PackNum=82, Marker=0, O1=0.4, O2=0.17290780344753595, T3=0.0681904489426126, T4=0.25892816441360894), BrainBitSignalData(PackNum=82, Marker=0, O1=0.4, O2=0.17189881505853183, T3=0.06813475430941993, T4=0.25773454450087024)]"
"[BrainBitSignalData(PackNum=83, Marker=0, O1=0.4, O2=0.1733083470424147, T3=0.06831328231170875, T4=0.2593588441456262), BrainBitSignalData(PackNum=83, Marker=0, O1=0.4, O2=0.17547776744629617, T3=0.06856276375080467, T4=0.2619661922132418)]"
"[BrainBitSignalData(PackNum=84, Marker=0, O1=0.4, O2=0.17276665951410247, T3=0.06809660730038386, T4=0.2590044584316811), BrainBitSignalData(PackNum=84, Marker=0, O1=0.4, O2=0.17317979162196315, T3=0.06822592566101614, T4=0.2594618410700236)]"
"[BrainBitSignalData(PackNum=85, Marker=0, O1=0.4, O2=0.1744439835014186, T3=0.06837584340652791, T4=0.26094652266170754), BrainBitSignalData(PackNum=85, Marker=0, O1=0.4, O2=0.1759797820852109, T3=0.06850897646806381, T4=0.2628180149250173)]"
"[BrainBitSignalData(PackNum=86, Marker=0, O1=0.4, O2=0.17304055503898147, T3=0.06807181174451041, T4=0.259490832796891), BrainBitSignalData(PackNum=86, Marker=0, O1=0.4, O2=0.1742624037384069, T3=0.06828810528574494, T4=0.2608931168490571)]"
"[BrainBitSignalData(PackNum=87, Marker=0, O1=0.4, O2=0.17550904799370576, T3=0.0684361156808049, T4=0.26236902462866274), BrainBitSignalData(PackNum=87, Marker=0, O1=0.4, O2=0.17552468826741055, T3=0.06836096607300383, T4=0.262494146818301)]"
"[BrainBitSignalData(PackNum=88, Marker=0, O1=0.4, O2=0.1745576615883461, T3=0.06823660682354624, T4=0.26141954557375485), BrainBitSignalData(PackNum=88, Marker=0, O1=0.4, O2=0.17534654173521208, T3=0.06834761461984122, T4=0.2623835204920964)]"
"[BrainBitSignalData(PackNum=89, Marker=0, O1=0.4, O2=0.1772016307846363, T3=0.06859289988794316, T4=0.26456438499868873), BrainBitSignalData(PackNum=89, Marker=0, O1=0.4, O2=0.1757852323391269, T3=0.06828200176429917, T4=0.26305834108194454)]"
"[BrainBitSignalData(PackNum=90, Marker=0, O1=0.4, O2=0.17492692463581527, T3=0.06823241065255227, T4=0.2620344753594164), BrainBitSignalData(PackNum=90, Marker=0, O1=0.4, O2=0.17606332403499989, T3=0.06838309133824476, T4=0.26337725007748614)]"
"[BrainBitSignalData(PackNum=91, Marker=0, O1=0.4, O2=0.17818239038695372, T3=0.06864821305104547, T4=0.2658659609469995), BrainBitSignalData(PackNum=91, Marker=0, O1=0.4, O2=0.17549722242090457, T3=0.06819807834441981, T4=0.2628149631642944)]"
"[BrainBitSignalData(PackNum=92, Marker=0, O1=0.4, O2=0.17600000000000002, T3=0.06833655198722076, T4=0.2633268960255585), BrainBitSignalData(PackNum=92, Marker=0, O1=0.4, O2=0.17715928760460625, T3=0.06848418091219036, T4=0.2647188803852848)]"
"[BrainBitSignalData(PackNum=93, Marker=0, O1=0.4, O2=0.17860010013589872, T3=0.06861693250363589, T4=0.26648813866437787), BrainBitSignalData(PackNum=93, Marker=0, O1=0.4, O2=0.17581193524545216, T3=0.06821524449848604, T4=0.2632795937343538)]"
"[BrainBitSignalData(PackNum=94, Marker=0, O1=0.4, O2=0.177002503397468, T3=0.06840941277447965, T4=0.26461473905061633), BrainBitSignalData(PackNum=94, Marker=0, O1=0.4, O2=0.17838914717592924, T3=0.06858336313568414, T4=0.2662943518584746)]"
"[BrainBitSignalData(PackNum=95, Marker=0, O1=0.4, O2=0.17849786615168206, T3=0.06849562501490118, T4=0.26655909210118495), BrainBitSignalData(PackNum=95, Marker=0, O1=0.4, O2=0.17653787282740863, T3=0.06826140237941969, T4=0.2642679827384784)]"
"[BrainBitSignalData(PackNum=96, Marker=0, O1=0.4, O2=0.17783220084400259, T3=0.06844221920225067, T4=0.2657404572872708), BrainBitSignalData(PackNum=96, Marker=0, O1=0.4, O2=0.17975213980878813, T3=0.06869093770116587, T4=0.26801821519681474)]"
"[BrainBitSignalData(PackNum=97, Marker=0, O1=0.4, O2=0.17814271749755622, T3=0.06837126576544358, T4=0.2663027442004625), BrainBitSignalData(PackNum=97, Marker=0, O1=0.4, O2=0.1775308394726176, T3=0.06836630665426889, T4=0.2655180602245905)]"
"[BrainBitSignalData(PackNum=98, Marker=0, O1=0.4, O2=0.17867296092315763, T3=0.06851126528860596, T4=0.2668162029420881), BrainBitSignalData(PackNum=98, Marker=0, O1=0.4, O2=0.18070161886369598, T3=0.06875006556517178, T4=0.269206113058198)]"
"[BrainBitSignalData(PackNum=99, Marker=0, O1=0.4, O2=0.1778486040578881, T3=0.06829039410628711, T4=0.2659926090169993), BrainBitSignalData(PackNum=99, Marker=0, O1=0.4, O2=0.17855432372505545, T3=0.06846091123667836, T4=0.26670977278687746)]"
